WBAN #,STATION ID,STATION NAME,LAT/LON,ELEV (ft),TOWER HEIGHT (m)
93770,KDOX,"Dover AFB, DE",384932 / 0752623,50,30
14913,KDLH,"Duluth, MN",465013 / 0921235,1428,30
3987,KDYX,"Dyess AFB, TX",323218 / 0991516,1517,10
53114,KEYX,"Edwards AFB, CA",350552 / 1173339,2757,20
53825,KEVX,"Eglin AFB, FL",303352 / 0855517,140,20
3020,KEPZ,"El Paso, TX",315223 / 1064153,4104,30
4108,KLRX,"Elko, NV",404423 / 1164810,6744,30
94289,KBHX,"Eureka, CA",402954 / 1241731,2402,30
24690,PAPD,"Fairbanks, AK",650206 / 1473006,2593,30
53113,KFSX,"Flagstaff, AZ",343428 / 1111152,7417,20
53839,KHPX,"Fort Campbell, KY",364412 / 0871706,576,10
3992,KGRK,"Fort Hood, TX",304319 / 0972259,538,10
3993,KPOE,"Fort Polk, LA",310920 / 0925833,408,10
53851,KEOX,"Fort Rucker, AL",312738 / 0852734,434,10
PENDING,KSRX,"Fort Smith, AR",351726 / 0942142,640,20
PENDING,KIWX,"Fort Wayne, IN",412132 / 0854200,960,25
4837,KAPX,"Gaylord, MI",445426 / 0844311,1464,20
94008,KGGW,"Glasgow, MT",481223 / 1063730,2276,20
23065,KGLD,"Goodland, KS",392201 / 1014201,3651,10
94986,KMVX,"Grand Forks, ND",473140 / 0971932,986,20
3025,KGJX,"Grand Junction, Co",390344 / 1081250,9991,10
94860,KGRR,"Grand Rapids, MI",425338 / 0853241,778,20
4102,KTFX,"Great Falls, MT",472735 / 1112307,3714,10
14898,KGRB,"Green Bay, WI",442954 / 0880641,682,30
3870,KGSP,"Greer, SC",345300 / 0821312,940,30
54763,KRMX,"Griffiss AFB, NY",432804 / 0752728,1516,30
94981,KUEX,"Hastings, NE",401915 / 0982631,1976,20
3023,KHDX,"Holloman AFB, NM",330435 / 1060722,4222,10
94625,KCBW,"Houlton, ME",460221 / 0674823,746,30
3980,KHGX,"Houston/Galveston, TX",292819 / 0950445,18,20
PENDING,KHTX,"Huntsville, AL",345550 / 0860500,1760,15
93819,KIND,"Indianapolis, IN",394227 / 0861649,790,20
3889,KJKL,"Jackson, KY",373527 / 0831847,1364,25
3940,KJAN,"Jackson, MS",321904 / 0900448,297,20
13889,KJAX,"Jacksonville, FL",302905 / 0814207,33,20
42219,RODN,"Kadena, Okinawa",261807 / 1275435E,218,30
PENDING,PHKN,"Kamuela, HI",200732 / 1554640,3812,30
3983,KEAX,"Kansas City, MO",384837 / 0941552,995,20
92804,KBYX,"Key West, FL",243551 / 0814211,8,20
PENDING,PAKC,"King Salmon, AK",584046 / 1563746,63,20
53832,KMRX,"Knoxville/Tri-Cities, TN",361007 / 0832406,1337,20
PENDING,RKJK,"Kunsan AB, Korea",355527 / 1263720E,78,30
94987,KARX,"La Crosse, WI",434922 / 0911128,1276,20
PENDING,LPLA,"Lajes AB, Azores",384349 / 0271918,3334,20
3937,KLCH,"Lake Charles, LA",300731 / 0931257,13,20
53110,KESX,"Las Vegas, NV",354204 / 1145329,4867,20
22015,KDFX,"Laughlin AFB, TX",291622 / 1001650,1131,10
4833,KILX,"Lincoln, IL",400902 / 0892013,582,30
3952,KLZK,"Little Rock, AR",345011 / 0921544,568,20
53101,KVTX,"Los Angeles, CA",342442 / 1191046,2726,20
53827,KLVX,"Louisville, KY",375831 / 0855638,719,30
23042,KLBB,"Lubbock, TX",333915 / 1014851,3259,20
94850,KMQT,"Marquette, MI",463152 / 0873254,1411,30
53826,KMXX,"Maxwell AFB, AL",323212 / 0854723,400,30
94296,KMAX,"Medford, OR",420452 / 1224302,7513,10
12838,KMLB,"Melbourne, FL",280648 / 0803915,35,20
93839,KNQA,"Memphis, TN",352041 / 0895224,282,20
12899,KAMX,"Miami, FL",253640 / 0802446,14,20
PENDING,PAIH,"Middleton Island, AK",592741 / 1461811,67,10
23023,KMAF,"Midland/Odessa, TX",315636 / 1021121,2868,10
4834,KMKX,"Milwaukee, WI",425804 / 0883302,958,10
94983,KMPX,"Minneapolis/St. Paul, MN",445056 / 0933356,946,30
94048,KMBX,"Minot AFB, ND",482333 / 1005154,1493,20
4103,KMSX,"Missoula, MT",470228 / 1135910,7855,10
13894,KMOB,"Mobile, AL",304046 / 0881423,208,20
22547,PHMO,"Molokai, HI",210758 / 1571048,1363,20
53856,KVAX,"Moody AFB, GA",302325 / 0830006,173,30
93768,KMHX,"Morehead City, NC",344634 / 0765234,31,30
53833,KOHX,"Nashville, TN",361450 / 0863345,579,20
53813,KLIX,"New Orleans, LA",302012 / 0894932,24,30
94703,KOKX,"New York City, NY",405156 / 0725150,85,30
PENDING,PAEC,"Nome, AK",643041 / 1651742,54,5
93773,KAKQ,"Norfolk/Richmond, VA",365902 / 0770026,112,20
94049,KLNX,"North Platte, NE",415728 / 1003435,2970,20
3979,KTLX,"Oklahoma City, OK",351959 / 0971640,1213,15
94980,KOAX,"Omaha, NE",411913 / 0962200,1148,30
3816,KPAH,"Paducah, KY",370406 / 0884619,392,30
24155,KPDT,"Pendleton, OR",454126 / 1185110,1515,10
93771,KDIX,"Philadelphia, PA",395649 / 0742439,149,20
23104,KIWA,"Phoenix, AZ",331721 / 1114012,1353,10
4832,KPBZ,"Pittsburgh, PA",403154 / 0801305,1185,20
4107,KSFX,"Pocatello/Idaho Falls, ID",430621 / 1124110,4474,10
54762,KGYX,"Portland, ME",435329 / 0701523,409,10
94288,KRTX,"Portland, OR",454253 / 1225755,1572,30
